zone_id,total_volume,number_of_destinations,avg_distance_mile,avg_travel_time_min,google_maps_link
178,684,140,4.87096,12.5622,"https://www.google.com/maps/search/?api=1&query=43.060838,-87.983094"
179,658,105,7.98618,81.501,"https://www.google.com/maps/search/?api=1&query=42.965738,-87.997905"
180,407,117,3.8701,10.7106,"https://www.google.com/maps/search/?api=1&query=43.053905,-87.952572"
181,556,134,4.19896,9.86166,"https://www.google.com/maps/search/?api=1&query=43.035081,-87.953957"
182,476,100,4.22344,12.8619,"https://www.google.com/maps/search/?api=1&query=43.010531,-87.957663"
183,512,126,4.46801,13.9173,"https://www.google.com/maps/search/?api=1&query=43.003824,-87.956992"
184,580,117,6.95361,22.2599,"https://www.google.com/maps/search/?api=1&query=43.070028,-88.025859"
185,891,141,8.05726,85.0373,"https://www.google.com/maps/search/?api=1&query=42.983756,-88.026686"
186,792,126,8.50487,86.7488,"https://www.google.com/maps/search/?api=1&query=42.977411,-88.025209"
187,804,114,6.35536,14.5338,"https://www.google.com/maps/search/?api=1&query=43.037334,-88.009135"
188,405,109,7.49015,14.7115,"https://www.google.com/maps/search/?api=1&query=43.020591,-88.022678"
189,780,135,7.40942,77.8024,"https://www.google.com/maps/search/?api=1&query=42.984309,-88.007977"
190,1213,153,7.79749,79.7421,"https://www.google.com/maps/search/?api=1&query=42.976287,-88.008850"
191,921,152,5.26167,18.3815,"https://www.google.com/maps/search/?api=1&query=43.093680,-87.999083"
192,854,157,4.88227,14.2186,"https://www.google.com/maps/search/?api=1&query=43.087238,-87.999141"
193,953,152,5.34153,14.7603,"https://www.google.com/maps/search/?api=1&query=43.071810,-88.000491"
194,537,104,5.62361,11.9534,"https://www.google.com/maps/search/?api=1&query=43.034438,-87.994510"
195,315,85,6.18528,11.8,"https://www.google.com/maps/search/?api=1&query=43.030249,-88.011680"
196,584,122,6.00131,12.3217,"https://www.google.com/maps/search/?api=1&query=43.028437,-88.000130"
197,1035,131,5.75856,16.1271,"https://www.google.com/maps/search/?api=1&query=43.064416,-87.996925"
198,526,108,5.65596,18.2281,"https://www.google.com/maps/search/?api=1&query=43.078809,-88.012236"
199,646,117,6.13655,19.4639,"https://www.google.com/maps/search/?api=1&query=43.070901,-88.013277"
200,692,128,4.67067,10.7932,"https://www.google.com/maps/search/?api=1&query=43.053391,-87.983133"
201,508,113,4.84861,10.9261,"https://www.google.com/maps/search/?api=1&query=43.027985,-87.988336"
202,496,92,7.1213,23.1715,"https://www.google.com/maps/search/?api=1&query=43.063449,-88.017326"
203,768,132,7.02915,21.2547,"https://www.google.com/maps/search/?api=1&query=43.115323,-88.048342"
204,1130,174,5.53838,17.6479,"https://www.google.com/maps/search/?api=1&query=43.108229,-88.016217"
205,1255,169,5.81994,17.1342,"https://www.google.com/maps/search/?api=1&query=43.100794,-88.016596"
206,1434,178,5.8648,16.9382,"https://www.google.com/maps/search/?api=1&query=43.092930,-88.023225"
207,897,138,6.16815,19.1138,"https://www.google.com/maps/search/?api=1&query=43.081191,-88.022056"
208,821,142,7.13288,20.0282,"https://www.google.com/maps/search/?api=1&query=43.082102,-88.033282"
209,847,142,7.81197,26.0226,"https://www.google.com/maps/search/?api=1&query=43.157793,-87.982022"
210,633,132,5.66322,20.3165,"https://www.google.com/maps/search/?api=1&query=43.124906,-87.986600"
211,800,145,5.21346,20.7017,"https://www.google.com/maps/search/?api=1&query=43.116012,-87.983257"
212,593,131,5.05526,17.9739,"https://www.google.com/maps/search/?api=1&query=43.108039,-87.981096"
213,873,151,4.59608,17.1902,"https://www.google.com/maps/search/?api=1&query=43.100402,-87.986848"
214,502,120,4.39653,16.5957,"https://www.google.com/maps/search/?api=1&query=43.093140,-87.982956"
215,706,147,4.6569,17.4761,"https://www.google.com/maps/search/?api=1&query=43.085383,-87.983139"
216,1408,153,9.09161,26.2869,"https://www.google.com/maps/search/?api=1&query=43.175617,-87.984773"
217,981,152,5.20846,19.4263,"https://www.google.com/maps/search/?api=1&query=43.108534,-87.997120"
218,499,131,4.72642,11.4526,"https://www.google.com/maps/search/?api=1&query=43.061057,-87.975601"
219,625,126,4.42661,9.85462,"https://www.google.com/maps/search/?api=1&query=43.052751,-87.975033"
220,1394,166,8.49159,23.2876,"https://www.google.com/maps/search/?api=1&query=43.162057,-88.042056"
221,991,155,5.81491,18.891,"https://www.google.com/maps/search/?api=1&query=43.123144,-88.030512"
222,577,132,4.36012,13.5303,"https://www.google.com/maps/search/?api=1&query=43.067987,-87.968630"
223,536,118,5.6946,16.5823,"https://www.google.com/maps/search/?api=1&query=43.086475,-88.012421"
224,806,145,5.50571,19.0962,"https://www.google.com/maps/search/?api=1&query=43.123573,-87.998761"
225,601,134,5.3108,18.7682,"https://www.google.com/maps/search/?api=1&query=43.115671,-88.000026"
226,740,135,5.27208,19.1291,"https://www.google.com/maps/search/?api=1&query=43.101253,-88.000789"
227,931,146,8.42945,25.2872,"https://www.google.com/maps/search/?api=1&query=43.182609,-88.006704"
228,955,159,8.45564,25.1569,"https://www.google.com/maps/search/?api=1&query=43.178721,-88.042948"
229,728,140,7.09759,20.3965,"https://www.google.com/maps/search/?api=1&query=43.138600,-88.045191"
230,442,115,7.2495,22.495,"https://www.google.com/maps/search/?api=1&query=43.129949,-88.046778"
231,604,125,7.3285,19.7306,"https://www.google.com/maps/search/?api=1&query=43.109044,-88.055927"
232,432,99,8.09475,24.144,"https://www.google.com/maps/search/?api=1&query=43.130903,-88.061105"
233,760,109,9.20069,25.508,"https://www.google.com/maps/search/?api=1&query=43.160751,-88.085376"
234,297,82,8.35217,24.4003,"https://www.google.com/maps/search/?api=1&query=43.107957,-88.069298"
